COD_CURSO,CURSO,SETOR_CURSO
40001016048G0,CIÊNCIAS EXATAS  - Presencial - Pontal do Paraná,CENTRO DE ESTUDOS DO MAR
40001016010G0,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016079G0,NUTRIÇÃO  - Presencial - Curitiba,SETOR DE CIÊNCIAS DA SAÚDE
40001016015G0,CIÊNCIAS ECONÔMICAS  - Presencial - Curitiba,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
40001016004G0,AGRONOMIA  - Presencial - Palotina,SETOR PALOTINA
40001016122G0,DESIGN GRÁFICO  - Presencial - Curitiba,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016084G0,PSICOLOGIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS HUMANAS
40001016087G0,QUÍMICA  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016046G0,FARMÁCIA  - Presencial - Curitiba,SETOR DE CIÊNCIAS DA SAÚDE
40001016043G0,ENGENHARIA QUÍMICA  - Presencial - Curitiba,SETOR DE TECNOLOGIA
40001016045G0,EXPRESSÃO GRÁFICA  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016050G0,CIÊNCIAS EXATAS  - Presencial - Jandaia do Sul,CAMPUS JANDAIA DO SUL
40001016141G0,JORNALISMO  - Presencial - Curitiba,SETOR DE ARTES COMUNICAÇÃO E DESIGN
40001016070G0,MATEMÁTICA  - Presencial - Curitiba,SETOR DE CIÊNCIAS EXATAS
40001016149G0,EDUCAÇÃO ESPECIAL E INCLUSIVA - PARFOR - a Distância - Curitiba,SETOR DE CIÊNCIAS HUMANAS
